location,interval,priority
21479,600,low
21481,600,low
21489,600,low
21491,600,low
21499,600,low
21501,600,low
21509,600,low
21511,600,low
21519,600,low
21521,600,low
21529,600,low
21531,600,low
21539,600,low
21541,600,low
21549,600,low
21551,420,high
21559,420,high
21561,420,high
21569,420,high
21571,420,high
21579,420,high
21581,420,high
21589,420,high
21591,420,high
21599,420,high
21601,420,high
21609,420,high
21611,420,high
21619,420,high
21621,600,low
21629,600,low
21631,420,high
21639,420,high
21641,420,high
21649,420,high
21651,420,high
21659,420,high
21661,420,high
21669,420,high
21671,600,low
21679,600,low
21681,420,high
21689,420,high
21691,420,high
21699,420,high
21711,600,low
21719,600,low
21721,600,low
21729,420,high
21751,600,low
21759,600,low
21761,600,low
21769,600,low
21771,420,high
21779,420,high
22009,420,high
22011,600,low
22019,600,low
22021,600,low
22029,600,low
22031,600,low
22039,600,low
22049,600,low
22059,600,low
22069,600,low
22079,600,low
22089,600,low
22161,420,high
22169,420,high
22171,420,high
22179,420,high
22181,420,high
22189,420,high
22191,600,low
22199,600,low
22219,600,low
22221,600,low
22229,600,low
22231,420,high
22239,420,high
22241,600,low
22249,600,low
22251,600,low
22259,600,low
22271,600,low
22281,600,low
22289,600,low
22299,600,low
22309,600,low
22319,600,low
22329,600,low
22331,600,low
22341,420,high
22349,420,high
22351,600,low
22359,600,low
22361,600,low
22369,600,low
22399,600,low
22409,600,low
22411,600,low
22419,600,low
22429,600,low
22431,600,low
22439,600,low
22441,420,high
22449,420,high
22451,420,high
22459,420,high
22461,420,high
22469,420,high
22471,420,high
22479,420,high
22481,420,high
22489,420,high
22491,420,high
22499,420,high
22501,420,high
22509,420,high
22511,420,high
22519,420,high
22521,420,high
22529,420,high
22531,420,high
22539,420,high
22591,420,high
22599,420,high
22609,600,low
23011,600,low
23019,600,low
23021,600,low
23029,600,low
23031,600,low
23039,600,low
23041,420,high
23049,420,high
23051,420,high
23059,420,high
23061,420,high
23069,420,high
23071,420,high
23079,420,high
23081,600,low
23089,600,low
23091,600,low
23099,600,low
23101,600,low
23109,600,low
23111,600,low
23119,600,low
23121,600,low
23129,600,low
23131,600,low
23139,600,low
23141,600,low
23149,600,low
23151,600,low
23159,600,low
23161,600,low
23169,600,low
23171,600,low
23179,600,low
23181,600,low
23189,600,low
23221,600,low
23229,600,low
23231,600,low
23239,600,low
23371,420,high
23379,600,low
23481,600,low
23489,600,low
23491,600,low
23499,600,low
23501,600,low
23509,600,low
23519,420,high
24209,420,high
24011,600,low
24019,600,low
24021,600,low
24029,600,low
24041,600,low
24049,600,low
24129,600,low
24139,600,low
24149,600,low
24159,600,low
24331,600,low
24339,600,low
24489,600,low
24499,600,low
26001,600,low
26009,600,low
24511,600,low
24519,600,low
24521,600,low
24529,600,low
24571,600,low
24581,600,low
24599,600,low
24601,600,low
24609,600,low
24611,600,low
24619,600,low
24621,600,low
24629,600,low
24671,600,low
24679,600,low
24681,600,low
24689,600,low
24691,600,low
24699,600,low
24709,600,low
24711,600,low
24719,420,high
25009,420,high
25059,600,low
25061,600,low
25069,600,low
25071,600,low
25079,600,low
25091,600,low
25099,600,low
25101,600,low
25109,600,low
25111,600,low
25119,600,low
25121,600,low
25129,600,low
25151,600,low
25161,600,low
25169,600,low
25171,600,low
25179,600,low
25181,600,low
25189,600,low
25191,600,low
25199,600,low
25201,600,low
25209,600,low
25219,600,low
25221,600,low
25229,600,low
25231,600,low
25239,600,low
25249,600,low
25251,600,low
25259,600,low
25269,600,low
25321,600,low
25329,600,low
25331,600,low
25339,600,low
25341,600,low
25349,600,low
25351,600,low
25359,600,low
25361,600,low
25369,600,low
25371,600,low
25379,600,low
25381,600,low
25389,600,low
25391,600,low
25399,600,low
25411,600,low
25419,600,low
25421,420,high
25429,420,high
25431,420,high
25439,420,high
25441,420,high
25449,420,high
25451,420,high
25459,420,high
25461,420,high
25469,420,high
25511,600,low
25519,600,low
25681,420,high
25689,420,high
25691,420,high
25701,600,low
25709,600,low
25711,600,low
25719,600,low
25721,600,low
25729,600,low
25741,600,low
25751,600,low
25761,600,low
25771,600,low
25781,600,low
25791,600,low
25801,600,low
25811,600,low
25819,600,low
25821,600,low
26071,600,low
26079,600,low
26081,600,low
26089,600,low
26091,600,low
26099,600,low
26101,600,low
26109,600,low
26111,600,low
26121,600,low
26131,600,low
26141,600,low
26151,600,low
26161,600,low
26171,600,low
26201,420,high
26209,420,high
26211,600,low
26221,600,low
26241,600,low
26249,420,high
26251,600,low
26259,420,high
26261,600,low
26269,420,high
26279,600,low
26289,600,low
26299,600,low
26311,600,low
26321,600,low
26331,600,low
26349,600,low
26369,600,low
26379,600,low
26389,600,low
26399,600,low
26409,600,low
26419,600,low
26429,600,low
26431,600,low
26441,600,low
26451,600,low
26461,600,low
27011,600,low
27021,600,low
27031,600,low
27041,600,low
27051,600,low
27061,420,high
27069,600,low
27071,600,low
27091,420,high
27099,420,high
27101,420,high
27109,420,high
27121,420,high
27129,420,high
27131,420,high
27139,600,low
27141,420,high
27149,600,low
27159,600,low
27169,600,low
27171,600,low
27179,600,low
27181,600,low
27189,600,low
27199,600,low
27209,600,low
27211,420,high
27219,600,low
27221,420,high
27231,420,high
27241,420,high
27251,420,high
27261,420,high
27271,420,high
27279,420,high
27281,420,high
27291,420,high
27301,420,high
27309,420,high
27311,420,high
27321,600,low
27329,600,low
27331,600,low
27341,420,high
27349,420,high
27351,420,high
27359,600,low
27361,420,high
27369,420,high
27371,420,high
27379,420,high
27391,420,high
27399,420,high
27401,420,high
27409,420,high
27411,420,high
27419,420,high
27421,600,low
27429,420,high
27431,420,high
27439,420,high
27441,420,high
27449,420,high
27451,420,high
27459,420,high
27461,600,low
27469,420,high
27471,600,low
27479,600,low
27501,600,low
27509,600,low
27511,600,low
27519,600,low
27521,600,low
27529,600,low
27531,420,high
27539,600,low
28009,420,high
28011,420,high
28019,420,high
28021,420,high
28029,420,high
