BusStopCode,interval,priority
28509,300,high
28511,300,high
28519,300,high
28521,300,high
28529,300,high
28531,300,high
28539,300,high
28541,450,low
28551,450,low
28561,450,low
28571,450,low
28581,450,low
28591,450,low
28601,450,low
28611,450,low
28621,300,high
28629,300,high
28631,300,high
28639,300,high
28641,300,high
28649,300,high
28651,300,high
28659,300,high
28661,300,high
28669,450,low
28671,300,high
28679,450,low
28681,300,high
28689,450,low
28691,300,high
28699,450,low
28701,300,high
28709,450,low
29009,300,high
29011,450,low
29019,450,low
29021,450,low
29029,300,high
29031,450,low
29039,300,high
29041,450,low
29049,450,low
29051,450,low
29059,450,low
29069,450,low
29071,450,low
29081,450,low
29089,450,low
29091,450,low
29099,450,low
29101,450,low
29109,450,low
29111,450,low
29119,450,low
29121,450,low
29129,450,low
29139,450,low
29149,450,low
29159,450,low
29161,450,low
30011,450,low
30019,300,high
30021,450,low
30029,300,high
30031,450,low
30039,300,high
30041,450,low
30049,300,high
30051,450,low
30059,300,high
30081,450,low
30089,300,high
30091,450,low
30099,300,high
30101,450,low
30109,450,low
30111,300,high
30119,450,low
30121,300,high
30129,300,high
31009,450,low
31011,450,low
31019,450,low
31031,450,low
31039,450,low
31041,450,low
31049,450,low
31051,450,low
31059,450,low
31121,450,low
31129,300,high
31131,450,low
31139,300,high
31141,450,low
31149,300,high
31151,450,low
31159,300,high
31161,450,low
31169,300,high
31171,450,low
31179,300,high
31191,450,low
31199,300,high
32071,300,high
32081,300,high
32089,450,low
32121,300,high
32129,450,low
32131,300,high
32139,450,low
32141,300,high
32149,450,low
32151,300,high
32159,450,low
33011,300,high
33019,450,low
33021,300,high
33029,450,low
33031,300,high
33039,450,low
33041,300,high
33049,450,low
33051,450,low
33059,450,low
34009,450,low
34011,450,low
34019,450,low
34021,450,low
34029,450,low
34031,450,low
34039,450,low
34041,450,low
34049,450,low
34051,450,low
34059,450,low
40011,300,high
40019,300,high
40021,300,high
40029,300,high
40031,300,high
40039,300,high
40041,300,high
40049,300,high
40051,300,high
40059,300,high
40069,300,high
40071,300,high
40079,300,high
40081,300,high
40089,300,high
40091,300,high
40099,300,high
40101,300,high
40109,300,high
40111,300,high
40119,300,high
40121,300,high
40129,300,high
40171,300,high
40179,300,high
40181,300,high
40189,300,high
40191,300,high
40199,300,high
40201,300,high
40209,300,high
40211,300,high
40219,300,high
40221,300,high
40229,300,high
40231,300,high
40239,300,high
40249,300,high
40251,450,low
40259,450,low
